location,pool_id,average_nonnative_pc,average_native_pc,restoration_year
south_parcel,1,19.72,71.09333333,2011
south_parcel,1,20.4,58.92,2011
south_parcel,2,41.89655172,46.06896552,2011
south_parcel,2,20.953125,57.15625,2011
south_parcel,3,21.1,58.95,2011
south_parcel,3,22.39285714,54.21428571,2011
south_parcel,4,15.38571429,71.18571429,2011
south_parcel,4,30.93333333,40.8,2011
south_parcel,5,15.05882353,42.70588235,2011
south_parcel,5,10.85416667,33.91666667,2011
south_parcel,6,10.60416667,51.97916667,2011
south_parcel,6,0.368421053,77.42105263,2011
south_parcel,7,12.67857143,58.91071429,2011
south_parcel,7,3.568181818,41.81818182,2011
south_parcel,8,14.90243902,30.09756098,2011
south_parcel,8,21.37142857,53.28571429,2011
south_parcel,9,12.64516129,39.20430108,2011
south_parcel,9,9.780821918,57.56164384,2011
south_parcel,SWW 1,12.76086957,74.67391304,2011
south_parcel,SWW 1,27.50909091,68.32727273,2011
storke_ranch,2007,41.66666667,19.33333333,2007
storke_ranch,2007,34.90909091,33.36363636,2007
storke_ranch,2017,9.575757576,78.03030303,2017
storke_ranch,2017,18.84615385,65.11538462,2017
storke_ranch,East,15.72,72.44,2006
storke_ranch,East,16.67073171,58.57317073,2006
storke_ranch,North,24.35955056,54.65168539,2006
storke_ranch,North,23.68852459,66.49180328,2006
storke_ranch,South,4.097560976,86.45121951,2006
west_campus,1,39.16304348,77.82608696,2019
west_campus,1,39.16304348,99.5,2019
west_campus,1,26.67741935,77.82608696,2019
west_campus,1,26.67741935,99.5,2019
west_campus,1,47.26229508,87.31147541,2019
west_campus,10,42.19512195,71.09756098,2002
west_campus,10,104.1212121,8.303030303,2002
west_campus,11,27.70454545,88.09090909,2002
west_campus,11,57.78125,40.0625,2002
west_campus,13,90.09090909,41.36363636,2002
west_campus,13,107.5263158,28.78947368,2002
west_campus,4,25.38235294,72.80882353,1997
west_campus,6,22.69565217,66.15217391,1997
west_campus,6,14.17391304,81.63043478,1997
west_campus,8,31.03703704,51.77777778,2002
west_campus,8,82.75757576,29.18181818,2002
west_campus,9,109,26.81818182,2002
west_campus,7,,,1997
west_campus,2,,,
west_campus,5,,,1997
west_campus,3,,,
more_mesa,Main pool,,,
storke_ranch,Main,,,
